area_type,availability,location,size,total_sqft,bath,balcony,price
Appartment,Ready To Move,Korangi Creek,2 BHK,1220,2,1,57
Plot,Ready To Move,Soldier Bazar,8 Bedroom,1350,7,0,85
Appartment,Ready To Move,PECHS,2 BHK,1005,2,1,36.68
Plot,Ready To Move,Garden East,3 Bedroom,500,3,2,100
Appartment,20-Aug,Karimabad,2 BHK,1358,2,1,80.58
Appartment,Ready To Move,Khayaban-e-Bukhari,3 BHK,1569,3,1,101
Appartment,18-Apr,Jamshed Quarter,2 BHK,1240,2,1,70
Appartment,Ready To Move,Civic Centre,3 BHK,2089,3,2,140
Appartment,Ready To Move,Korangi Road,2 BHK,1206,2,1,48.23
Appartment,Ready To Move,Sunset Boulevard,2 BHK,1150,2,3,40
House,Ready To Move,Khayaban-e-Jami,3 BHK,2511,3,3,205
House,Ready To Move,Khayaban-e-Ittehad,2 BHK,460,1,0,22
House,Ready To Move,Khayaban-e-Bahria,6 Bedroom,4400,6,3,250
Appartment,Ready To Move,Khayaban-e-Badban,3 BHK,1660,2,2,105
House,18-Oct,Khayaban-e-Hilal,4 Bedroom,2957 - 3450,,,224.5
Appartment,19-Mar,Khayaban-e-Shahbaz,2 BHK,1326,2,2,78
Appartment,Ready To Move,Khayaban-e-Sehar,3 BHK,1325,2,2,60.8
Appartment,Ready To Move,Khayaban-e-Rahat,3 BHK,1499,5,2,102
House,Ready To Move,Khayaban-e-Muhafiz,6 Bedroom,3000,7,2,210
Appartment,Ready To Move,Khayaban-e-Bukhari,3 BHK,1665,3,2,88
Appartment,17-Sep,Khayaban-e-Nishat,2 BHK,708,2,2,37
Appartment,Ready To Move,Commercial Avenue,2 BHK,1060,2,2,58.06
Plot,Ready To Move,Khayaban-e-Hafiz,6 Bedroom,710,6,3,160
House,Ready To Move,Khayaban-e-Muslim,2 BHK,1000,2,2,70
Appartment,18-Dec,Khayaban-e-Shaheen,2 BHK,1000,2,1,28.88
Appartment,Ready To Move,Khayaban-e-Shujaat,3 BHK,1450,2,2,70
Plot,Ready To Move,Jamshed Quarter,4 Bedroom,1200,4,2,155
Appartment,17-Aug,Saba Avenue,2 BHK,1296,2,3,80
Appartment,Ready To Move,Beach Avenue,3 BHK,1540,3,2,90
Plot,Ready To Move,Khayaban-e-Mujahid,4 Bedroom,2894,4,1,245
Appartment,Ready To Move,Khayaban-e-Janbaz,3 BHK,1330,2,1,48
House,Ready To Move,Khayaban-e-Shamsheer,2 BHK,1200,2,1,65
House,Ready To Move,Khayaban-e-Tanzeem,3 Bedroom,1200,3,1,90
Appartment,Ready To Move,Khayaban-e-Tauheed,3 BHK,2502,3,3,138
House,Ready To Move,Khayabane-e-Amir Khusro,2 BHK,650,1,1,17
Plot,Ready To Move,Khayaban-e-Tariq,3 Bedroom,2400,2,1,150
Appartment,Ready To Move,Khaliq-uz-Zaman,2 BHK,1007,2,2,43
Appartment,Ready To Move,Dhoraji Colony,2 BHK,1200,2,2,50
Appartment,Ready To Move,Muslimabad,2 BHK,966,2,2,49.9
House,Ready To Move,Gulshan-E-Iqbal one,3 BHK,1630,2,1,98
House,Ready To Move,Gulshan-E-Iqbal two,3 BHK,1640,3,2,229
House,Ready To Move,PIB Colony,2 BHK,782,2,2,55.68
Appartment,19-Apr,DHA Defence,2 BHK,1260,2,2,66.78
Appartment,Ready To Move,North Nazimabad,3 BHK,1800,3,3,120
Appartment,Ready To Move,Saddar Town,3 BHK,1413,2,2,75
Appartment,Ready To Move,Gulshan-e-Iqbal Town,2 BHK,1116,2,1,51.91
Appartment,Ready To Move,Tariq Road,3 BHK,1530,2,1,45.9
House,Ready To Move,Clifton,4 Bedroom,3700,4,1,225
House,Ready To Move,Frere Town,3 Bedroom,2497,3,2,140
Appartment,Ready To Move,Nazimabad,3 BHK,1540,2,3,64
Appartment,18-Dec,Khalid Bin Walid Road,3 BHK,1436,3,1,74.75
Appartment,18-Jun,Garden West,2 BHK,1100,2,2,75
Plot,Ready To Move,Clifton,2 Bedroom,276,3,3,23
Appartment,Ready To Move,Clifton,3 BHK,1427,3,2,120
Appartment,Ready To Move,Gulistan-e-Jauhar ,3 BHK,2061,3,1,200
Appartment,18-Mar,Malir,4 BHK,3067 - 8156,4,0,477
House,Ready To Move,Mehmoodabad,4 BHK,2650,4,2,150
Appartment,22-Dec,Jamshed Town ,3 BHK,1282,2,2,68.52
House,Ready To Move,Clifton Block nine,2 BHK,1050,2,1,34
House,Ready To Move,DHA Phase seven,3 BHK,1600,3,2,65
Appartment,22-Jan,DHA Phase six,2 BHK,945,2,1,54
Appartment,Ready To Move,Dhoraji Colony,2 BHK,1500,2,1,78
Plot,Ready To Move,Cornish Society Scheme ,7 Bedroom,950,7,0,115
House,Ready To Move,Cornish Society Scheme ,3 BHK,1870,3,3,110
Plot,Ready To Move,North Karachi,3 Bedroom,1600,3,1,75
Appartment,Ready To Move,Punjab Colony,2 BHK,880,1,1,16.5
Plot,Ready To Move, North Karachi,4 Bedroom,1200,4,0,210
Appartment,Ready To Move,Airport Road,3 BHK,1535,3,2,83
House,Ready To Move,Kashmir Road,2 BHK,950,2,1,57
Appartment,18-Aug,Clifton,2 BHK,1360,2,1,65
Appartment,19-Mar,Defence Garden,2 BHK,1042 - 1105,2,0,54.005
Appartment,18-May,Kashmir Road,3 BHK,1280,3,1,50.4
Appartment,19-Jan,Navy Housing Scheme Karsaz,3 BHK,1260,2,2,85.05
House,Ready To Move,Clifton Block nine,8 Bedroom,5000,8,,250
Appartment,19-Dec,DHA Defence,5 BHK,3050,5,1,213
Appartment,Ready To Move,North Nazimabad,3 BHK,1563.05,3,1,105
Appartment,Ready To Move,Saddar Town,2 BHK,1000,2,1,60
Appartment,17-Jul,Gulshan-e-Iqbal Town,2 BHK,1167,2,1,43.76
Appartment,Ready To Move,Tariq Road,7 BHK,4000,7,2,225
Appartment,Ready To Move,Clifton,3 BHK,1828,3,,110
Appartment,Ready To Move,Frere Town,2 BHK,890,2,1,35
Appartment,Ready To Move,Nazimabad,3 BHK,1612,3,3,46.74
Plot,Ready To Move,Khalid Bin Walid Road,6 Bedroom,1034,5,,185
Appartment,19-Apr,Garden West,3 BHK,1710,4,2,91.31
Appartment,Ready To Move,Clifton,2 BHK,957,2,1,58
Appartment,18-May,Clifton,3 BHK,1250,2,3,44
Appartment,Ready To Move,Gulistan-e-Jauhar ,3 BHK,2795,4,,235
Appartment,Ready To Move,Malir,2 BHK,1125,2,2,50
Appartment,18-Jul,Mehmoodabad,2 BHK,1020,2,1,30.6
Appartment,Ready To Move,Jamshed Town ,2 BHK,1200,2,2,50
Appartment,Ready To Move,Clifton Block nine,3 BHK,1735,3,3,135
Appartment,Ready To Move,DHA Phase seven,3 BHK,2050,3,1,145
Plot,Ready To Move,DHA Phase six,4 Bedroom,3750,4,0,760
House,Ready To Move,Dhoraji Colony,3 BHK,1350,2,3,48
Appartment,18-May,Cornish Society Scheme ,2 BHK,1063,2,1,32
Appartment,Ready To Move,Cornish Society Scheme ,3 BHK,1904,3,1,150
House,Ready To Move,North Karachi,4 Bedroom,4200,4,2,420
Appartment,Ready To Move,Punjab Colony,3 BHK,2000,3,1,175
Appartment,18-Dec, North Karachi,2 BHK,1145 - 1340,2,0,43.49
Appartment,Ready To Move,Airport Road,3 BHK,1425,2,2,75
Appartment,Ready To Move,Kashmir Road,3 BHK,1500,2,1,64.5
House,Ready To Move,Clifton,2 BHK,1060,2,1,60
House,Ready To Move,Defence Garden,3 BHK,1470,2,2,70
Appartment,Ready To Move,Kashmir Road,6 BHK,1300,6,0,99
Appartment,Ready To Move,Navy Housing Scheme Karsaz,1 BHK,450,1,1,11
Appartment,18-Apr,Clifton Block nine,2 BHK,1152,2,1,64.5
Appartment,Ready To Move,Abid Town,3 BHK,1350,2,1,56
Appartment,Ready To Move,Gohar Green City,3 BHK,1550,3,3,65
Plot,Ready To Move,Hill Park,3 Bedroom,1500,3,2,100
Plot,Ready To Move,Korangi Creek,5 Bedroom,600,3,2,85
Plot,Ready To Move,Soldier Bazar,1 Bedroom,400,1,0,14
Appartment,Ready To Move,PECHS,1 BHK,705,1,2,67
House,Ready To Move,Garden East,2 BHK,770,1,1,36
Appartment,Ready To Move,Karimabad,2 BHK,1242,2,3,51
Appartment,Ready To Move,Khayaban-e-Bukhari,3 BHK,1700,3,2,155
Appartment,Ready To Move,Jamshed Quarter,3 BHK,2144,3,2,145
Appartment,21-Jun,Civic Centre,3 BHK,1704,3,2,110
Appartment,Ready To Move,Korangi Road,2 BHK,1070,2,1,52
Plot,Ready To Move,Sunset Boulevard,3 Bedroom,1846,3,2,300
Appartment,Ready To Move,Khayaban-e-Jami,2 BHK,1340,2,2,55.7
House,Ready To Move,Khayaban-e-Ittehad,2 BHK,1025,2,1,46
Appartment,Ready To Move,Khayaban-e-Bahria,2 BHK,1015 - 1540,2,0,56.8
Appartment,Ready To Move,Khayaban-e-Badban,2 BHK,1200,2,2,52
House,18-Dec,Khayaban-e-Hilal,4 Bedroom,2250,4,1,110
Appartment,Ready To Move,Khayaban-e-Shahbaz,3 BHK,1550,2,3,80
Plot,Ready To Move,Khayaban-e-Sehar,4 Bedroom,1200,5,,325
Plot,Ready To Move,Khayaban-e-Rahat,7 Bedroom,1800,7,1,250
Appartment,Ready To Move,Khayaban-e-Muhafiz,2 BHK,1200,2,2,60
Appartment,Ready To Move,Khayaban-e-Bukhari,2 BHK,1327,2,2,98
Appartment,Ready To Move,Khayaban-e-Nishat,2 BHK,1186,2,2,58
House,Ready To Move,Commercial Avenue,3 Bedroom,1783,3,1,115
Appartment,Ready To Move,Khayaban-e-Hafiz,3 BHK,1400,3,2,56
Appartment,Ready To Move,Khayaban-e-Muslim,2 BHK,980,2,1,48
Appartment,Ready To Move,Khayaban-e-Shaheen,2 BHK,1285,2,2,82
Appartment,Ready To Move,Khayaban-e-Shujaat,3 BHK,912,2,1,70
House,Ready To Move,Jamshed Quarter,2 BHK,1225,2,2,47.6
Appartment,Ready To Move,Saba Avenue,2 BHK,1075,2,1,53
House,Ready To Move,Beach Avenue,3 BHK,1260,2,2,54
Appartment,Ready To Move,Khayaban-e-Mujahid,3 BHK,1282,2,2,48.7
Appartment,Ready To Move,Khayaban-e-Janbaz,3 BHK,1909,3,2,88
Appartment,Ready To Move,Khayaban-e-Shamsheer,2 BHK,1359,2,1,87
House,Ready To Move,Khayaban-e-Tanzeem,2 BHK,1207,2,2,43.5
Plot,Ready To Move,Khayaban-e-Tauheed,4 Bedroom,1736,6,0,190
Appartment,20-May,Khayabane-e-Amir Khusro,4 BHK,2850,4,1,428
Appartment,Ready To Move,Khayaban-e-Tariq,3 BHK,1595,3,2,65
House,18-Jun,Khaliq-uz-Zaman,3 BHK,1798,3,2,89
Appartment,Ready To Move,Dhoraji Colony,3 BHK,1475,3,2,78.29
Appartment,Ready To Move,Muslimabad,3 BHK,1580,3,3,100
Appartment,Ready To Move,Gulshan-E-Iqbal one,2 BHK,1295,2,1,65
House,Ready To Move,Gulshan-E-Iqbal two,6 Bedroom,3600,6,0,141
Appartment,Ready To Move,PIB Colony,1 BHK,589,1,1,27
Appartment,Ready To Move,DHA Defence,3 BHK,1415,3,3,78
Appartment,18-Dec,North Nazimabad,3 BHK,1787,3,2,98.29
Appartment,Ready To Move,Saddar Town,3 BHK,1787,3,2,125
Appartment,Ready To Move,Gulshan-e-Iqbal Town,3 BHK,1475,2,3,90
House,Ready To Move,Tariq Road,4 BHK,2000,4,1,75.5
Appartment,19-Mar,Clifton,2 BHK,984,2,1,44.28
Appartment,19-Dec,Frere Town,3 BHK,1520 - 1740,,,74.82
Appartment,Ready To Move,Nazimabad,3 BHK,2405,4,2,260
House,Ready To Move,Khalid Bin Walid Road,2 BHK,1080,2,2,72
Plot,Ready To Move,Garden West,2 Bedroom,1500,2,1,115
Appartment,Ready To Move,Clifton,3 BHK,1900,3,2,119
Appartment,19-Aug,Clifton,2 BHK,805,2,1,22.14
Appartment,Ready To Move,Gulistan-e-Jauhar ,2 BHK,1153,2,2,56.4
Appartment,Ready To Move,Malir,2 BHK,1148,2,2,60
Appartment,Ready To Move,Mehmoodabad,2 BHK,1110,2,2,55
House,Ready To Move,Jamshed Town ,2 BHK,1100,2,2,42
Appartment,Ready To Move,Clifton Block nine,2 BHK,1290,2,2,110
Appartment,Ready To Move,DHA Phase seven,3 BHK,1500,2,1,65
Appartment,18-Apr,DHA Phase six,2 BHK,1080,2,2,39
Appartment,21-Jun,Dhoraji Colony,3 BHK,1933,3,1,129
House,Ready To Move,Cornish Society Scheme ,5 Bedroom,3500,5,2,150
House,Ready To Move,Cornish Society Scheme ,2 BHK,1060,2,2,60
Appartment,18-Aug,North Karachi,1 BHK,645,1,1,16.45
Plot,Ready To Move,Punjab Colony,8 Bedroom,2600,8,2,180
Appartment,18-Sep, North Karachi,1 BHK,645,1,1,16.45
Appartment,Ready To Move,Airport Road,3 BHK,1644,3,3,84
Appartment,Ready To Move,Kashmir Road,2 BHK,1285,2,3,72.5
Plot,Ready To Move,Clifton,3 Bedroom,1200,3,1,90
Appartment,Ready To Move,Defence Garden,2 BHK,910,2,1,40
Appartment,Ready To Move,Kashmir Road,3 BHK,1577,3,1,70
Plot,17-May,Navy Housing Scheme Karsaz,3 Bedroom,4050,3,2,280
Appartment,Ready To Move,Clifton Block nine,3 BHK,2420,3,2,185
Appartment,Ready To Move,DHA Defence,2 BHK,800,1,1,20
House,Ready To Move,North Nazimabad,2 BHK,1060,2,2,55
Appartment,Ready To Move,Saddar Town,2 BHK,1270,2,2,93
Appartment,18-Jun,Gulshan-e-Iqbal Town,2 BHK,900,2,2,22.5
House,Ready To Move,Tariq Road,2 Bedroom,1280,2,1,69
Plot,Ready To Move,Clifton,4 Bedroom,1200,2,0,95
House,Ready To Move,Frere Town,2 BHK,1025,2,2,36
Appartment,17-Jun,Nazimabad,2 BHK,1108,2,1,63
Plot,Ready To Move,Khalid Bin Walid Road,5 Bedroom,1200,5,,170
Appartment,Ready To Move,Garden West,3 BHK,3045,3,2,170
Plot,Ready To Move,Clifton,4 Bedroom,2900,3,2,300
Appartment,Ready To Move,Clifton,3 BHK,1500,3,2,75.5
Appartment,Ready To Move,Gulistan-e-Jauhar ,2 BHK,1295,2,2,43.9
Appartment,Ready To Move,Malir,2 BHK,1162,2,1,59.9
Appartment,Ready To Move,Mehmoodabad,2 BHK,1035,2,2,49.2
House,Ready To Move,Jamshed Town ,4 Bedroom,1600,4,0,52.8
Appartment,Ready To Move,Clifton Block nine,3 BHK,1464,3,2,46
Appartment,18-Oct,DHA Phase seven,3 BHK,1866,2,2,61.58
Appartment,Ready To Move,DHA Phase six,2 BHK,700,1,1,26
Appartment,Ready To Move,Dhoraji Colony,3 BHK,1804,3,2,120
Appartment,Ready To Move,Cornish Society Scheme ,2 BHK,913,2,1,32
Appartment,21-Dec,Cornish Society Scheme ,3 BHK,1868,3,2,131
House,Ready To Move,North Karachi,2 BHK,883,2,1,45
Plot,Ready To Move,Punjab Colony,2 Bedroom,900,2,1,110
Appartment,Ready To Move, North Karachi,3 BHK,1664,2,3,73.95
Appartment,Ready To Move,Airport Road,3 BHK,2026,3,2,132
Appartment,Ready To Move,Kashmir Road,2 BHK,1210,2,1,80.9
Plot,Ready To Move,Clifton,4 Bedroom,4111,4,2,250
Appartment,Ready To Move,Defence Garden,3 BHK,1762,3,3,91.45
Appartment,Ready To Move,Kashmir Road,3 BHK,1252,3,3,55
House,Ready To Move,Navy Housing Scheme Karsaz,2 BHK,861,2,1,34.5
House,Ready To Move,Clifton Block nine,3 BHK,1420,2,1,100
Plot,Ready To Move,Abid Town,6 Bedroom,1450,6,0,250
House,Ready To Move,Gohar Green City,3 BHK,1490,3,1,78.8
Appartment,Ready To Move,Hill Park,3 BHK,1075,2,1,46
Appartment,18-Aug,Korangi Creek,3 BHK,1425,2,2,94
House,Ready To Move,Soldier Bazar,2 BHK,1200,2,1,40
Appartment,Ready To Move,PECHS,3 BHK,1280,2,2,56
Appartment,Ready To Move,Garden East,2 BHK,1084,2,2,50
Appartment,18-Jul,Karimabad,2 BHK,1015,2,2,25.88
Appartment,21-May,Khayaban-e-Bukhari,2 BHK,1017,2,1,51.25
Appartment,Ready To Move,Jamshed Quarter,2 BHK,1027,2,2,44
Appartment,Ready To Move,Civic Centre,2 BHK,1069,2,2,45
Appartment,Ready To Move,Korangi Road,2 BHK,1349,2,1,98.2
Appartment,Ready To Move,Sunset Boulevard,2 BHK,1005,2,1,50
Appartment,Ready To Move,Khayaban-e-Jami,2 BHK,1417,2,3,75
Plot,18-Jan,Khayaban-e-Ittehad,3 Bedroom,1475,3,1,98
Carpet  Area,Ready To Move,Khayaban-e-Bahria,2 BHK,950,2,2,47
Appartment,Ready To Move,Khayaban-e-Badban,4 BHK,2000,4,0,120
Plot,Ready To Move,Khayaban-e-Hilal,3 Bedroom,880,3,1,140
Appartment,Ready To Move,Khayaban-e-Shahbaz,4 BHK,1863,3,2,104
Appartment,Ready To Move,Khayaban-e-Sehar,2 BHK,1010,2,1,29.5
Appartment,Ready To Move,Khayaban-e-Rahat,3 BHK,1425,2,1,70
Appartment,Ready To Move,Khayaban-e-Muhafiz,3 BHK,1450,3,0,100
Appartment,Ready To Move,Khayaban-e-Bukhari,3 BHK,1847,3,2,105
Appartment,Ready To Move,Khayaban-e-Nishat,2 BHK,1100,2,3,45
Appartment,20-Dec,Commercial Avenue,1 BHK,525,1,1,26
Appartment,Ready To Move,Khayaban-e-Hafiz,3 BHK,1665,3,2,95
Appartment,Ready To Move,Khayaban-e-Muslim,4 BHK,1664,4,3,65
Appartment,Ready To Move,Khayaban-e-Shaheen,3 BHK,1850,3,3,150
Appartment,Ready To Move,Khayaban-e-Shujaat,2 BHK,1438,2,3,100
Appartment,Ready To Move,Jamshed Quarter,3 BHK,1560,3,3,115
Appartment,18-Apr,Saba Avenue,2 BHK,1350,2,1,55.55
Appartment,Ready To Move,Beach Avenue,3 BHK,1550,3,3,67
Appartment,18-Apr,Khayaban-e-Mujahid,2 BHK,1140,2,2,46.5
Plot,Ready To Move,Khayaban-e-Janbaz,5 Bedroom,1200,5,2,180
Appartment,18-Dec,Khayaban-e-Shamsheer,2 BHK,850,2,2,27
Appartment,Ready To Move,Khayaban-e-Tanzeem,2 BHK,1280,2,2,75
House,Ready To Move,Khayaban-e-Tauheed,2 BHK,1170,2,2,52
Appartment,Ready To Move,Khayabane-e-Amir Khusro,2 BHK,1113,2,1,51
Appartment,Ready To Move,Khayaban-e-Tariq,2 BHK,1385,2,1,83.09
Appartment,18-Apr,Khaliq-uz-Zaman,2 BHK,1128,2,1,65
Plot,Ready To Move,Dhoraji Colony,2 Bedroom,1200,2,2,128
Plot,Ready To Move,Muslimabad,4 Bedroom,1200,4,3,165
Appartment,Ready To Move,Gulshan-E-Iqbal one,3 BHK,2390,3,2,415
Plot,Ready To Move,Gulshan-E-Iqbal two,4 Bedroom,2400,4,1,400
Appartment,Ready To Move,PIB Colony,3 BHK,1464,3,2,56
Appartment,Ready To Move,DHA Defence,2 BHK,1200,2,2,55
Appartment,Ready To Move,North Nazimabad,2 BHK,1200,2,2,52
Appartment,Ready To Move,Saddar Town,3 BHK,1150,2,1,55
House,Ready To Move,Gulshan-e-Iqbal Town,3 BHK,1645,3,2,95
Appartment,20-Mar,Tariq Road,2 BHK,1000,2,1,67
Plot,Ready To Move,Clifton,4 Bedroom,2650,4,2,198
Appartment,Ready To Move,Frere Town,2 BHK,1192,2,2,74
Appartment,Ready To Move,Nazimabad,3 BHK,2135,3,2,215
Appartment,19-Dec,Khalid Bin Walid Road,2 BHK,1173,2,1,58
House,Ready To Move,Garden West,2 BHK,1020,2,2,45
Appartment,Ready To Move,Clifton,4 BHK,3122,6,2,230
Appartment,Ready To Move,Clifton,3 BHK,1600,3,3,64
Plot,18-Mar,Gulistan-e-Jauhar ,2 Bedroom,1200,2,0,79
Carpet  Area,Ready To Move,Malir,2 BHK,1230,2,3,48
Appartment,Ready To Move,Mehmoodabad,2 BHK,1250,2,2,40
Appartment,Ready To Move,Jamshed Town ,2 BHK,1325,2,2,76
House,Ready To Move,Clifton Block nine,3 BHK,1850,3,1,150
Appartment,21-Dec,DHA Phase seven,1 BHK,525,,,21.53
Appartment,Ready To Move,DHA Phase six,2 BHK,1200,2,2,65
Plot,Ready To Move,Dhoraji Colony,3 Bedroom,1350,2,0,140
Appartment,18-Jun,Cornish Society Scheme ,3 BHK,1260,3,1,49.36
Appartment,Ready To Move,Cornish Society Scheme ,3 BHK,1800,3,0,150
Plot,18-Dec,North Karachi,3 Bedroom,11,3,2,74
House,Ready To Move,Punjab Colony,2 BHK,1100,2,1,43.25
Appartment,Ready To Move, North Karachi,2 BHK,1508,2,1,77
Carpet  Area,Ready To Move,Airport Road,3 BHK,1592,3,2,75
Appartment,Ready To Move,Kashmir Road,2 BHK,1388,2,3,57
Appartment,18-May,Clifton,1 BHK,630,1,1,28.35
Plot,Ready To Move,Defence Garden,3 Bedroom,2000,3,2,365
Appartment,Ready To Move,Kashmir Road,3 BHK,1762,3,1,125
Appartment,21-Dec,Navy Housing Scheme Karsaz,2 BHK,950,2,2,50
Appartment,Ready To Move,Clifton Block nine,4 BHK,3252,5,3,335
Appartment,18-Aug,DHA Defence,2 BHK,1116,2,1,50
Appartment,Ready To Move,North Nazimabad,2 BHK,1308,2,2,89.04
Appartment,Ready To Move,Saddar Town,3 BHK,1200,3,0,90
Plot,Ready To Move,Gulshan-e-Iqbal Town,4 Bedroom,1500,4,2,230
House,Ready To Move,Tariq Road,1 BHK,500,1,1,18.5
Appartment,Ready To Move,Clifton,2 BHK,1075,2,1,52
Appartment,18-Mar,Frere Town,1 BHK,530,1,0,11.66
House,Ready To Move,Nazimabad,2 BHK,1205,2,3,66
Appartment,Ready To Move,Khalid Bin Walid Road,2 BHK,1075,2,2,60
House,Ready To Move,Garden West,2 BHK,930,2,2,39
Appartment,Ready To Move,Clifton,2 BHK,1380,2,1,60
Appartment,Ready To Move,Clifton,4 BHK,2483,5,2,212
House,Ready To Move,Gulistan-e-Jauhar ,2 BHK,1166,2,2,55
Appartment,Ready To Move,Malir,2 BHK,1050,2,1,65
Appartment,19-Mar,Mehmoodabad,3 BHK,2023.71,3,2,275
Appartment,Ready To Move,Jamshed Town ,2 BHK,1200,2,2,46.8
Appartment,Ready To Move,Clifton Block nine,3 BHK,1600,2,1,108
Appartment,Ready To Move,DHA Phase seven,3 BHK,1935,3,2,110
Appartment,18-May,DHA Phase six,1 BHK,451,1,0,29.9
Appartment,Ready To Move,Dhoraji Colony,3 BHK,1800,3,2,95
Appartment,18-May,Cornish Society Scheme ,3 BHK,1400,3,0,77
Appartment,Ready To Move,Cornish Society Scheme ,3 BHK,1801,3,2,115
House,Ready To Move,North Karachi,2 BHK,1451,2,,90
Plot,19-Jan,Punjab Colony,2 Bedroom,1200,1,1,36
Appartment,Ready To Move, North Karachi,2 BHK,1160,2,2,44
House,Ready To Move,Airport Road,2 BHK,1000,2,1,25
Appartment,Ready To Move,Kashmir Road,2 BHK,950,2,1,40
